prdcid,prdcimgnombre,prdcimgnombrebucket,prdcprecio,ctgraid,marcaid
"9","ABRAZADERA 3 A 1 CONCYSA","1776956844489-cemex.png","28","1","413"
"10","ABRAZADERA 3 A 1/2 PVC AGUA CONCYSA","null","25","2","2"
"11","ABRAZADERA 3 A 1/2 PVC AGUA INRELY","null","22","2","3"
"12","ABRAZADERA 3 A 1/2 PVC NEGRO AGUA IMPORTADO","null","20","2","1"
"13","ABRAZADERA 3 A 3/4 PVC AGUA CONCYSA","null","28","2","2"
"14","ABRAZADERA 4 A 1 1/2 PVC IMPORTADO","null","0","2","1"
"16","ABRAZADERA 4 A 1 PVC IMPORTADO","null","0","2","1"
"17","ABRAZADERA 4 A 1/2 AGUA CONCYSA","1777040926800-cemex.png","26","2","2"
"20","ABRAZADERA CONCYSA 11/2A 3/4","null","16.5","2","2"
"21","ABRAZADERA GALVANISADA 2 OREJAS 1/2 AGUA","null","1","3","1"
"22","ABRAZADERA GALVANIZADA 1 1/16P","1777063741293-Gemini_Generated_Image_wea8b6wea8b6wea8.png","1.2","3","1"
"23","ABRAZADERA GALVANIZADA 1 1/2","null","1.5","3","1"
"24","ABRAZADERA GALVANIZADA 1/2 SIN FIN","null","0.8","3","1"
"25","ABRAZADERA GALVANIZADA 1P SIN FIN","null","1.2","3","1"
"26","ABRAZADERA GALVANIZADA 2 OREJAS 1 1/2","null","1.5","3","1"
"27","ABRAZADERA GALVANIZADA 2 OREJAS 1/2","null","0.5","3","1"
"28","ABRAZADERA GALVANIZADA 2 OREJAS 1P","null","0.8","3","1"
"29","ABRAZADERA GALVANIZADA 2 OREJAS 2P","null","2.5","3","1"
"30","ABRAZADERA GALVANIZADA 2 OREJAS 3/4","null","0.6","3","1"
"31","ABRAZADERA GALVANIZADA 2 OREJAS 3P","null","3.5","3","1"
"32","ABRAZADERA GALVANIZADA 2 OREJAS 4P","null","4.5","3","1"
"33","ABRAZADERA GALVANIZADA 2 OREJAS 5/8","null","0.5","3","1"
"34","ABRAZADERA GALVANIZADA 2 OREJAS A 1 1/4","null","1","3","1"
"35","ABRAZADERA GALVANIZADA 2P SIN FIN","null","1.8","3","1"
"36","ABRAZADERA GALVANIZADA 3/4P SIN FIN","null","1","3","1"
"37","ABRAZADERA GALVANIZADA 5/8 SIN FIN","null","1","3","1"
"38","ACCESORIO TANQUE 7/8 FORTALY F7301","1777042604167-descarga.jpg","16","4","4"
"39","ACCESORIO TANQUE INODORO BABY- PALANCA - FAMA","null","35","4","5"
"40","ACCESORIO TANQUE INODORO BABY-BOTON (TREBOL)","null","68","4","6"
"41","ACCESORIO TANQUE INODORO BOTON CYA","null","40","4","7"
"42","ACCESORIO TANQUE INODORO ONE PIECE FORTALY","null","28","4","8"
"43","ACCESORIO TANQUE INODORO PALANCA SANI","null","25","4","9"
"44","ACCESORIO TANQUE INODORO TREBOL ONE PIECE (BOTON GRANDE)","null","60","4","6"
"45","ACCESORIO TANQUE INODORO TREBOL ONE PIECE (BOTON PEQUEÑO)","null","60","4","6"
"46","ACCESORIO TANQUE INODORO TREBOL ONE PIECE (DOBLE BOTON)","null","47","4","6"
"47","ACCESORIOS","null","5","5","10"
"50","ACEITE AFLOJATODO 550ML TRUPER (13472)","null","20","6","11"
"51","ACEITE HUNDAI 10W40 - LTR","1777061256974-descarga.jpg","25","7","12"
"52","ACEITERA 300 ML TRUPER-14872","null","16","8","11"
"53","ADAPTADOR 1 1/2 AGUA ECO","null","3","2","13"
"54","ADAPTADOR 1/2 AGUA LOGAREX","null","1","2","14"
"55","ADAPTADOR 1/2 AGUA NICOLL","null","1.1","2","15"
"56","ADAPTADOR 1P AGUA ECONOMICO","null","3.5","2","13"
"57","ADAPTADOR 1P NICOLL PREMIUN","null","2.5","2","15"
"58","ADAPTADOR 2P AGUA ECONOMICO","null","5","2","13"
"59","ADAPTADOR 3/4 AGUA ECONOMICO","null","2","2","13"
"60","ADAPTADOR 3/4 AGUA NICOLL PREMIUN","null","2.5","2","15"
"61","ADAPTADOR 3P AGUA ECONOMICO","null","15","2","13"
"62","ADAPTADOR 4P AGUA ECONOMICO","null","23","2","13"
